Time,LOMARIDGE,,
and,11.5,,
Date,Rainfall (in.) ALERT transmitted,,
Date and time,Total,Quality,Comments
10/1/2013 0:00,0.08,1,Sites:
11/1/2013 0:00,0.12,151,LOMARIDGE - Loma Ridge Lat:33.764979 Long:-117.746298 Elev:1304ft
12/1/2013 0:00,0.51,1, 
1/1/2014 0:00,0.04,1,Variables:
2/1/2014 0:00,1.65,1,11 - Rainfall (Inches)
3/1/2014 0:00,0.08,1, 
4/1/2014 0:00,0.36,1,Qualities:
5/1/2014 0:00,0,1,1 - Good continuous records
6/1/2014 0:00,0,1,151 - Data Missing
,,,255 - No data exists
,,, 
